小区名称,居室数量,建筑面积,网址,价格,市/县,行政区,地址,经度,纬度
观澜国际 ,1居|2居|3居|4居,85~142平米,http://guanlanguoji0532.fang.com/,11500元/㎡,青岛市,即墨,即墨长江一路88号（王家官庄村附近）,120.457431,36.368814
懿品御府·崂山二十八墅 ,1居|2居|3居|4居,425平米,http://yipinyufu.fang.com/,30000元/㎡,青岛市,崂山,崂山同安路898号（汽车东站东500米）,120.456419,36.118318
龙悦华庭 ,2居|3居,74平米,http://yameihuayuanyaju.fang.com/,6300元/㎡,青岛市,胶州,胶州市九龙镇建设路27号（九赵路南）,120.018554,36.168
德馨瓏湖 ,2居|3居|4居,130~166平米,http://dexinlonghu.fang.com/,11500元/㎡,青岛市,即墨,即墨长江一路117号（石棚水库西邻）,120.457141,36.369524
温莎郡 ,2居|3居|4居,128~160平米,http://wenshajun0532.fang.com/,22000元/㎡,青岛市,市北,市北瑞海北路19号（瑞昌路立交桥北两公里）,120.348268,36.146834
鸿润嘉园 ,1居|2居|3居,,http://hongrunjiayuan0532.fang.com/,17000元/㎡,青岛市,黄岛,黄岛静江路179号（西海岸医疗中心斜对面）,120.163421,35.976337
温泉阳光 ,2居|3居|4居|5居|5居以上,80~354平米,http://wenquanyangguang.fang.com/,16500元/㎡,青岛市,即墨,即墨温泉镇麒麟路16号（新兴街与麒麟路交汇处）,120.655611,36.457164
胶州中央公园 ,1居|2居|3居|4居|5居,42平米,http://zhongyanggongyuandf.fang.com/,8500元/㎡,青岛市,胶州,胶州市云溪河畔东关大街88号（福州南路与东关大街交界处以西）,120.02225,36.28175
海怡半山 ,3居|4居|5居,211~390平米,http://haiyibanshan.fang.com/,46000元/㎡,青岛市,市南,市南彰化路15号（彰化路与香港中路交汇处）,120.416726,36.065007
平度上海花园 ,2居|3居|4居,109平米,http://shanghaihuayuanpd.fang.com/,6000元/㎡,青岛市,平度,平度市同和街道办事处新区大道519号（新区大道与高平路交叉口）,119.929226,36.750239
玫瑰庭院别墅 ,5居|5居以上,340~570平米,http://meiguitingyuan.fang.com/villa/,28000元/㎡,青岛市,李沧,李沧天水路18号、18号甲（清溪路、天水路与滨海大道交汇处）,120.507625,36.192856
青建·悦廷 ,3居|4居,,http://shixilingdiyueting.fang.com/,56000元/㎡,青岛市,崂山,崂山崂山路65号（崂山好望角西北侧）,120.532086,36.101356
平度龙宇上城 ,2居|3居,84~119平米,http://longyushangchengpd0532.fang.com/,6500元/㎡,青岛市,平度,平度市厦门路77号（厦门路与海尔大道交汇处）,119.983482,36.769798
梦想望城 ,3居,91~119平米,http://mengxiangwangcheng.fang.com/,价格待定,青岛市,莱西,莱西市青岛南路67号（青岛路与合肥路交汇处）,120.518754,36.827024
忠观悦府 ,2居|3居,112~131平米,http://zhongguanyuefu.fang.com/,9600元/㎡,青岛市,胶州,胶州市杭州路与泸州路交汇处东80米（河头源小区北门对面）,120.003266,36.276937
青特赫府二期 ,2居|3居|5居,40~154平米,http://qingtehefu.fang.com/,17000元/㎡,青岛市,城阳,城阳正阳路117号,120.424429,36.307236
万科桃花源 ,2居|3居|4居,82~140平米,http://taohuayuanwk.fang.com/,14500元/㎡,青岛市,城阳,城阳泰城路535号(万科城市花园南约300米),120.420218,36.288835
珠山秀谷·御墅 ,2居|3居|4居|5居|5居以上,186平米,http://zhushanxiuguyushu.fang.com/,价格待定,青岛市,黄岛,黄岛山川路1177号（大珠山风景区东入口正对面）,120.009692,35.797839
缦沙半岛 ,1居|2居|3居|5居|5居以上,280平米,http://manshabandao.fang.com/,45000元/㎡,青岛市,黄岛,黄岛金沙滩路196号（凤凰岛旅游度假区）,120.28448,35.975336
华商金地 ,2居|3居,111~126平米,http://huashangjindi.fang.com/,5500元/㎡,青岛市,莱西,莱西市上海路南与南京路东交汇处,120.537971,36.879308
蓝泰海乐府 ,2居|3居|4居,125平米,http://hailefult.fang.com/,14500元/㎡,青岛市,市北,市北瑞海北路7号（环湾大道西侧）,120.343378,36.13566
富贵新苑 ,1居|2居,79~88平米,http://fuguixinyuan.fang.com/,11000元/㎡,青岛市,胶州,胶州市北京东路6号,120.011385,36.263161
天一仁和·豪庭 ,2居|3居,,http://renhehaotingty.fang.com/,15000元/㎡,青岛市,即墨,即墨黄河三路169号（名都苑南门往西）,120.474566,36.404835
永新财富时代 ,1居|2居|3居|4居|5居,392~765平米,http://caifushidaiyx0532.fang.com/,价格待定,青岛市,平度,平度市世纪大道与规划杭州路交汇处,119.968971,36.740168
塞纳波斐 ,2居|3居|4居,92平米,http://sainabofei.fang.com/,6300元/㎡,青岛市,莱西,莱西市北京东路85号（北京东路与杭州路交汇处）。,120.543532,36.891447
颐海蓝湾 ,2居|3居,,http://yihailanwan.fang.com/,30000元/㎡,青岛市,黄岛,黄岛连江路939号（长江东路与连江路交汇处）,120.239826,35.979585
鲁信和璧花园 ,2居|3居,123~138平米,http://hebihuayuan.fang.com/,19000元/㎡,青岛市,即墨,即墨滨海路56号（滨海公路东）,120.673036,36.350107
鲁信随珠花园 ,3居,150~180平米,http://suizhuhuayuanlx.fang.com/,25800元/㎡,青岛市,黄岛,黄岛金沙滩路北侧、金山路东侧,120.264642,35.973238
中海寰宇天下 ,2居|3居|4居,143平米,http://zhongxinchengqd.fang.com/,24500元/㎡,青岛市,市北,市北新都心重庆南路与长沙路交汇处,120.391993,36.128193
金日唐郡 ,2居|3居|5居,176~190平米,http://jinritangjun.fang.com/,21000元/㎡,青岛市,城阳,城阳崇阳路152号（大北曲小学对面）,120.426092,36.29999
青岛星河湾 ,3居|4居|5居,265~692平米,http://xinghewan0532.fang.com/,25000元/㎡,青岛市,城阳,城阳环湾大道与滨海路交汇处向西2公里,120.335747,36.226221
北京城建龙樾湾 ,2居|3居,85~125平米,http://longyuewanbjcj0532.fang.com/,23500元/㎡,青岛市,李沧,李沧九水东路119号（六十四中西侧）,120.462283,36.168517
海尔地产·首府 ,2居|3居,90~139平米,http://shoufuhedc.fang.com/,6500元/㎡,青岛市,平度,平度市钱塘江路1号（海尔大道与长江路交汇处）,119.989069,36.774143
青特小镇 ,2居|3居|4居,108~115平米,http://qingtexiaozhen.fang.com/,15000元/㎡,青岛市,城阳,城阳春阳路东19号（旺疃小学以南）,120.453885,36.31672
胶州汇景花园 ,2居|3居,73平米,http://jiaozhouhuijinghuayuan.fang.com/,7000元/㎡,青岛市,胶州,胶州市广州路与北外环路往西200米,120.06485,36.38131
天福现河1号 ,2居|3居|4居,89~145平米,http://xianhe1haotf.fang.com/,16000元/㎡,青岛市,平度,平度市青岛路99号（青岛路与滨河路交汇处）,119.978076,36.779651
锦厦新城桂园 ,2居|3居,115~119平米,http://jxzczy.fang.com/,6000元/㎡,青岛市,平度,平度市锦州路69号（天津路与锦州路交汇处东200米）,119.937741,36.771172
学苑尚都 ,2居,90平米,http://xueyuanshangdu.fang.com/,5600元/㎡,青岛市,莱西,莱西市杭州南路18号（杭州路与石岛东路交汇处）,120.544514,36.86646
中航绿城理想城 ,2居|3居|4居,140平米,http://lvchenglixiangchengzh.fang.com/,13000元/㎡,青岛市,即墨,即墨莲花山路11号,120.545529,36.420251
新景苑 ,2居|3居,86~121平米,http://xinjingyuan0532.fang.com/,5200元/㎡,青岛市,胶州,胶州市胶北镇北关新疆路66号（山东道和新疆路交界处以北）,119.966399,36.315546
中铁·青岛广场 ,2居|3居,89~129平米,http://qingdaoguangchangzt.fang.com/,16000元/㎡,青岛市,市北,市北吴兴路139号(邻近青岛阜外医院）,120.387876,36.090022
恒诚家园 ,2居|3居,85平米,http://hengchengjiayuan.fang.com/,3700元/㎡,青岛市,胶州,胶州市铺集镇铺上路6号（水乡路西、中心大街南侧）,119.724654,36.129952
香江瑞城 ,1居,65平米,http://xiangjiangruicheng.fang.com/,价格待定,青岛市,黄岛,黄岛香江路南香江一路东（原三美电子厂）,120.168321,35.973109
蓝鳌路9号 ,2居|3居,85~96平米,http://dongchengmingjun0532.fang.com/,9600元/㎡,青岛市,即墨,即墨蓝鳌路22号（蓝鳌路与埠惜路交汇处）,120.503252,36.389726
东方时尚中心 ,1居|2居|3居|4居|5居,44~368平米,http://dongfangshishangzhongxin.fang.com/,10000元/㎡,青岛市,黄岛,黄岛三沙路与海军路交汇处（向东走行300米）,120.020868,35.799014
帝邦卓郡 ,1居|2居|3居|4居,137平米,http://dibangzhuojun.fang.com/,17000元/㎡,青岛市,黄岛,黄岛龙潭山路88号（大卢河与月亮湾路交汇处）,120.047637,35.884658
保利蔷薇公馆 ,2居|3居,102~130平米,http://qiangweigongguanbl.fang.com/,16500元/㎡,青岛市,城阳,城阳正阳中路与青威路交汇处,120.41502,36.30573
中仁少海澜山 ,2居|3居,135平米,http://shaohailanshanzr.fang.com/,12000元/㎡,青岛市,胶州,胶州市海尔大道209号(香港路口南800米),120.066287,36.243133
居之乐之 ,2居|3居,86~139平米,http://juzhilezhi.fang.com/,16300元/㎡,青岛市,城阳,城阳长城南路88号（长城南路与两江路交界处西南）,120.394466,36.273333
和达玺悦 ,3居|4居|5居,258~352平米,http://xiyuehd.fang.com/,27000元/㎡,青岛市,李沧,李沧李沧区世园大道与汉川路交汇,120.472162,36.190472
滨海1号 ,1居|2居|3居,42~52平米,http://binhai1hao0532.fang.com/,价格待定,青岛市,市北,市北瑞昌路与湖清路交汇处,120.347559,36.12524
紫悦府 ,2居|3居|4居,77~126平米,http://ziyuefu0532.fang.com/,5000元/㎡,青岛市,莱西,莱西市北京西路5号,120.503094,36.887045
启迪协信青岛科技城 ,1居|2居|3居,38平米,http://qingdaokejichengqdxx0532.fang.com/,14000元/㎡,青岛市,市北,市北舞阳路7号（近青岛科技大学市北校区）,120.38552,36.151336
万霖的花园 ,2居|3居|4居|5居,82~143平米,http://wanlindehuayuan.fang.com/,价格待定,青岛市,城阳,城阳兴阳路702号（原城中城售楼处）,120.386834,36.289113
黄岛山水嘉苑 ,2居|3居,88平米,http://shanshuijiayuanhd.fang.com/,16000元/㎡,青岛市,黄岛,黄岛临港街道珠光路东段650号,120.0774,35.937395
紫城御都 ,2居|3居,,http://zichengyudu.fang.com/,16000元/㎡,青岛市,胶州,胶州市北京东路177号,120.022967,36.264279
三龙·锦绣山庄 ,2居|3居,80~145平米,http://jinxiushanzhuangsl.fang.com/,5500元/㎡,青岛市,平度,平度市天津路第九中学路西,119.938581,36.798722
银丰故里 ,3居,,http://yinfengguli.fang.com/,18000元/㎡,青岛市,市北,市北利津路49号,120.352884,36.088462
华恒·翰林学府 ,2居|3居,83~115平米,http://hanlinxuefuhh.fang.com/,12000元/㎡,青岛市,黄岛,黄岛西区双珠公园西门往西200米,119.987417,35.867774
黄海悦府 ,1居|2居|4居,,http://huanghaiyuefu.fang.com/,35000元/㎡,青岛市,黄岛,黄岛长江路与衡山路交汇处北100米路西,120.217442,35.961248
天一仁和印象 ,2居|3居,89~103平米,http://yingangtyrh.fang.com/,14500元/㎡,青岛市,城阳,城阳南流路286号,120.403431,36.253855
胜通海岸 ,2居|3居,,http://shengtonghaian.fang.com/,40000元/㎡,青岛市,市北,市北瑞海北路37号,120.343898,36.138191
金科御苑 ,2居|3居,83~100平米,http://jinkeyuyuan0532.fang.com/,10000元/㎡,青岛市,胶州,胶州市温州路与科苑路交汇处（青年水库南800米）,120.03893,36.245021
瑞海·澜山 ,1居|2居|3居,65~125平米,http://ruihailanshan.fang.com/,16500元/㎡,青岛市,黄岛,黄岛东岳中路2717号（灵山卫枢纽站路北）,120.016128,35.889383
麦迪绅澎湃岛 ,1居,60~78平米,http://pengpaidaomds.fang.com/,16000元/㎡,青岛市,黄岛,黄岛兴港路13号,120.164186,35.924226
晓港名城御港湾 ,1居|2居|3居|4居,50~237平米,http://xiaogangmingcheng.fang.com/5/,16500元/㎡,青岛市,市北,市北小港二路81号,120.3158,36.079929
万德·悦海公馆 ,2居|3居|4居,81~205平米,http://yuehaigongguanwd.fang.com/,13500元/㎡,青岛市,黄岛,黄岛三沙路与科教二路交汇处,120.012493,35.812201
和达璟城·紫御 ,3居|4居|5居,141~165平米,http://jingchengziyuhd.fang.com/,25000元/㎡,青岛市,李沧,李沧天水路869号,120.473716,36.195381
鑫海·锦园 ,2居|3居,114平米,http://xinhaijinyuan0532.fang.com/,价格待定,青岛市,黄岛,黄岛朝阳山路与临港路交汇处,120.032544,35.90627
龙湖春江郦城 ,2居|3居,,http://chunjianglichenglh0532.fang.com/,16000元/㎡,青岛市,市北,市北四流南路与开封路交汇处,120.374817,36.142133
天一仁和天境 ,3居|4居,,http://tianjingtyrh.fang.com/,11500元/㎡,青岛市,城阳,城阳铁骑山金村水库南侧,120.4195,36.3305
卓越皇后道千山外 ,2居|3居|4居,77~144平米,http://huanghoudaozy0532.fang.com/2/,20000元/㎡,青岛市,李沧,李沧世园大道与汉川路交界处,120.472162,36.190472
宋城府邸 ,2居|3居|4居,145平米,http://songchengfudi.fang.com/,7600元/㎡,青岛市,胶州,胶州市兰州西路718号（东苑绿世界南门西行200米路南）,119.985611,36.282649
恩马墅院 ,2居|3居,87~132平米,http://enmashuyuan.fang.com/,27000元/㎡,青岛市,崂山,崂山滨海大道以东李宅路（高尔夫国际球场北侧）,120.497847,36.137753
泰山路99号 ,1居,62平米,http://taishanlu99hao.fang.com/,22000元/㎡,青岛市,市北,市北泰山路99号,120.336109,36.083255
蓝光黑钻公馆 ,3居|4居,127~240平米,http://heizuangongguanlg.fang.com/,25000元/㎡,青岛市,市北,市北宜昌路16号,120.340832,36.117559
磊鑫河畔阳光 ,2居|3居,80~108平米,http://leixinhepanyangguang.fang.com/,13500元/㎡,青岛市,城阳,城阳王沙路788-18号,120.468847,36.286984
银盛泰博观锦岸 ,3居|4居,120~145平米,http://boguanjinanyst.fang.com/,15000元/㎡,青岛市,胶州,胶州市北京路南、广州南路西,120.00993,36.263218
天泰时光印象 ,3居|4居,105~143平米,http://shiguangyinxiangtt.fang.com/,6000元/㎡,青岛市,莱西,莱西市上海路南、长岛路西,120.516736,36.877405
银盛泰·博观一品 ,3居|4居,147平米,http://boguanyipinyst.fang.com/,25000元/㎡,青岛市,城阳,城阳中城路以西，崇阳路以北,120.390653,36.299286
合创琨庭 ,1居|2居|3居,76平米,http://kuntinghc.fang.com/,价格待定,青岛市,黄岛,黄岛长江中路435-2号,120.186487,35.954415
海德公园 ,1居|3居|4居,38~164平米,http://haidegongyuan0535.fang.com/,价格待定,青岛市,海阳,海阳市旅游度假区济南路,119.9462,36.782881
灏景苑 ,2居|3居|5居,80~117平米,http://haojingyuan0532.fang.com/,6500元/㎡,青岛市,胶州,胶州市胶州西路与西外环路交汇处往北450米路东,119.933554,36.274132
宝龙大沽河艺术村 ,3居|4居,132~175平米,http://daguheyishucunbl.fang.com/,7000元/㎡,青岛市,胶州,胶州市少海北路10号,120.108638,36.271571
青岛罗浮观海 ,青岛罗浮观海2栋25层住宅在售,,http://luofuguanhai.fang.com/,16500元/㎡,青岛市,黄岛,黄岛罗浮山路123号,120.216448,35.948552
晶岳广场 ,1居,,http://jingyueguangchang.fang.com/,价格待定,青岛市,城阳,城阳上马街道岙东路西侧,120.268404,36.209828
百变60 ,1居,61平米,http://chengbox.fang.com/,19700元/㎡,青岛市,市北,市北新都心蚌埠路9号（蚌埠路与合肥路交界处）。,120.390512,36.119922
鸿泰·π公寓 ,1居,,http://paigongyuht.fang.com/,14000元/㎡,青岛市,市北,市北四流南路62号，水清沟公园对面,120.37305,36.135113
天相国际 ,1居|2居,45~1542平米,http://tianxiangguoji0532.fang.com/,14000元/㎡,青岛市,黄岛,黄岛珠江路以南，滨海大道以北 萧山路以西。,120.225424,35.956744
中铁华胥美邦 ,1居|2居|3居,,http://huaxumeibangzt.fang.com/,18000元/㎡,青岛市,城阳,城阳湘潭路9号（黑龙江路与湘潭路交汇处西500米）,120.416895,36.228464
隆海海之韵 ,1居|2居|3居,,http://haizhiyunlh.fang.com/,价格待定,青岛市,黄岛,黄岛海滨十路377号（滨海大道与海滨十路交界处以西100米）,120.016654,35.834406
天逸海湾 ,天逸海湾独栋别墅一期已售罄后期加推,,http://tianyihaiwan.fang.com/villa/,价格待定,青岛市,即墨,即墨滨海大道16号（双星度假村路南）,120.64604,36.33131
山钢地产凭海临风 ,1居|2居|3居|4居|5居,105~118平米,http://pinghailinfengsgdc.fang.com/,价格待定,青岛市,黄岛,黄岛东岳东路3677号（原泰山东路77号）　,120.144824,35.927181
山水新城 ,1居|2居|3居,81~91平米,http://shanshuixincheng.fang.com/,价格待定,青岛市,黄岛,黄岛珠山南路西（滨海二路以北的风河南岸）,120.056917,35.884196
万科青岛小镇 ,1居|2居|3居|4居|5居|5居以上,83~88平米,http://qingdaoxiaozhenwk.fang.com/,价格待定,青岛市,黄岛,黄岛前湾港路777号（大湾港路与灵海路交汇处西行约500米）,120.018274,35.911997
青岛海上嘉年华 ,2居|3居|4居|5居|5居以上,93~328平米,http://haishangjianianhuaqd.fang.com/,价格待定,青岛市,黄岛,黄岛漓江西路1166号内（唐岛湾北侧，滨海大道南侧）,120.16677,35.930774
信旭启翰苑 ,2居|3居,,http://qihanyuanxx.fang.com/,价格待定,青岛市,即墨,即墨黄河三路168号（黄河三路和营上路交汇处附近）,120.470604,36.406741
中建岭海尚溪地 ,2居|3居|4居|5居以上,,http://shangxidizjlh.fang.com/,价格待定,青岛市,即墨,即墨温泉镇岭海中路86号（岭海逸景湾东）,120.7248,36.44093
宝佳中央湖岸 ,2居|3居|4居,,http://zhongyanghuanbj.fang.com/,16000元/㎡,青岛市,胶州,胶州市香港东路518号（香港路体育中心以西）,120.030243,36.249966
怡景嘉苑 ,2居|3居,80~123平米,http://yijingjiayuan0532.fang.com/,价格待定,青岛市,即墨,即墨天山一路3号（天山一路与中城路交汇处，墨水河北岸）,120.390685,36.328704
科达天意华苑 ,2居|3居,,http://tianyihuayuankd.fang.com/,价格待定,青岛市,黄岛,黄岛青岛·西海岸CBD·东方影都东500米,120.045339,35.875937
白鹭湖温泉度假别墅 ,2居|5居以上,310~450平米,http://wenquanbieshublh.fang.com/,12000元/㎡,青岛市,莱西,莱西市沽河办事处（紧邻209国道）,120.40483,36.844381
千禧国际村二期 ,2居|3居|4居|5居,89~119平米,http://guojicunqx.fang.com/2/,价格待定,青岛市,城阳,城阳城阳区铁骑山路80号（青岛39中旁）,120.469839,36.29765
天齐天域蓝湾 ,1居|2居,,http://tianyulanwantq.fang.com/,17500元/㎡,青岛市,黄岛,黄岛罗浮山路227号（漓江西路与罗浮山路交汇处）,120.216976,35.951323
亿路发世家御园 ,1居|2居|3居|4居,,http://shijiayuyuan.fang.com/,14000元/㎡,青岛市,城阳,城阳正阳西路与龙海路交汇处,120.155596,36.257671
青岛海信依云小镇 ,2居|3居|4居|5居以上,105~210平米,http://yiyunxiaozhenhx.fang.com/,价格待定,青岛市,崂山,崂山四姜一湾片区,120.477405,36.118881
海尔御品华府 ,2居|3居,,http://yupinhuafuhe.fang.com/,价格待定,青岛市,胶州,胶州市兰州东路592号（海尔大道与兰州东路交汇处东800米路南）,120.060908,36.29179
即墨古城 ,即墨古城二期现在售合院别墅售价1000万/套起,,http://jimogucheng.fang.com/,34000元/㎡,青岛市,即墨,即墨顺河改造片区,120.658356,36.45114
蓝海国际 ,2居|3居,86~108平米,http://lanhaiguoji0532.fang.com/,价格待定,青岛市,即墨,即墨鹤山路868号（中国即墨服装市场往东200米）,120.418068,36.398722
隆海碧海云天 ,2居|3居|4居|5居,,http://bihaiyuntianlh.fang.com/,价格待定,青岛市,黄岛,黄岛琅琊台风景区管委会东500米,120.197772,35.960682
香溪贤庭 ,2居|3居,75~112平米,http://xiangxixianting.fang.com/,4000元/㎡,青岛市,胶州,胶州市铺集镇澄月路56号,119.726995,36.126772
河岸首府 ,2居|3居|4居,93~135平米,http://longtai.fang.com/,价格待定,青岛市,李沧,李沧九水路189号（银川路西侧）,120.424888,36.154244
御海首府 ,2居|3居|4居,86~177平米,http://yuhaishoufu.fang.com/,24000元/㎡,青岛市,黄岛,黄岛漳江路21、23号楼（青云山路与漳江路交汇处东300米）,120.218056,35.951608
青岛藏马山国际旅游度假区 ,青岛藏马山国际旅游度假区开盘时间待定,,http://cangmashanguojilvyoudujiaqu.fang.com/,价格待定,青岛市,黄岛,黄岛开城路中段（青岛藏马山国际旅游度假区）,119.765299,35.789809
华仁金都华府 ,1居|2居|3居|4居,131~155平米,http://jinduhuafuhr.fang.com/,价格待定,青岛市,城阳,城阳河东路与华中路交汇处向北300米,120.292659,36.276604
琅琊台家园 ,2居|3居,76~96平米,http://langyataijiayuan.fang.com/,价格待定,青岛市,黄岛,黄岛东岳中路1550号（原琅琊台酒厂北门）,119.997423,35.888988
海尔地产悦湖兰庭 ,2居|3居|4居,75~140平米,http://yuehulantinghe.fang.com/,价格待定,青岛市,黄岛,黄岛香江路与昆仑山路交汇处,120.150777,35.971191
保利·中央公园 ,1居|2居|3居,,http://zhongyanggongyuanbl0532.fang.com/,20000元/㎡,青岛市,李沧,李沧重庆路与金水路交界以东200米,120.407254,36.175547
和达璟城 ,1居|2居|3居|4居,75平米,http://hedajingcheng.fang.com/,25000元/㎡,青岛市,李沧,李沧宾川路88号（世园大道和汉川路交界处）,120.474784,36.191016
中泰信上景 ,2居|3居,91~102平米,http://shangjingztx.fang.com/,价格待定,青岛市,市北,市北金华路33号（金华路与新昌路交汇）。,120.361001,36.124025
锦绣河山 ,2居|3居|5居以上,,http://jinxiuheshan0532.fang.com/,价格待定,青岛市,黄岛,黄岛江山南路255号（江山南路与富春江路交汇处）,120.165772,35.957489
嶺海香澜郡瑜院 ,2居|3居,101~126平米,http://linghaixianglanjunyuyuan.fang.com/,价格待定,青岛市,即墨,即墨领海西路31号（温泉镇滨海大道与嶺海路交汇处）,120.709358,36.432322
中联依山伴城三期 ,2居|3居|4居,88~109平米,http://yishanbanchengzl.fang.com/2/,价格待定,青岛市,崂山,崂山新宏路1号,120.468989,36.144103
我家阳光1号 ,2居|3居,,http://yangguang1haowj.fang.com/,价格待定,青岛市,黄岛,黄岛大珠山中路1889号(西海岸汽车总站东北300米),120.010761,35.89262
红豆杉养生谷 ,1居|2居|3居,,http://hongdoushanyangshenggu.fang.com/,价格待定,青岛市,即墨,即墨嶺海西路40号（果岭二路和岭海西路交汇处）,120.709256,36.443777
海尔地产波尔多小镇 ,3居|5居|5居以上,230~300平米,http://darlingzhuangyuanhe.fang.com/,价格待定,青岛市,崂山,崂山李沙路北崂公交站附近,120.532906,36.122395
东方夏威夷 ,2居|3居,63~115平米,http://dongfangxiaweiyi0532.fang.com/,价格待定,青岛市,胶州,胶州市李哥庄镇大洋街17号（李王路与204国道交界处西500米）,120.18146,36.33717
建邦听海 ,2居|3居|4居|5居,,http://jianbangtinghai.fang.com/,价格待定,青岛市,黄岛,黄岛东岳东路4166号（灵山卫公交枢纽站北侧）,120.126717,35.919772
卓越蔚蓝群岛 ,1居|2居|3居|4居|5居,151~172平米,http://weilanqundaolaiyinanzy.fang.com/,18000元/㎡,青岛市,城阳,城阳双元路18号（双元路南段白沙河入海口处）,120.341714,36.262485
中筑蓝湾铭都 ,2居|3居|5居以上,86~130平米,http://lanwanmingduzz.fang.com/,价格待定,青岛市,城阳,城阳河套街道龙海路与锦海路交汇处,120.164525,36.237683
天一仁和郡 ,2居|3居,87~89平米,http://renhejunty.fang.com/,11500元/㎡,青岛市,即墨,即墨埠惜路762号（实验高中东侧）,120.510842,36.412361
越秀星汇蓝湾 ,2居|3居,,http://xinghuilanwanyx.fang.com/,17000元/㎡,青岛市,李沧,李沧晋中路79号（沧安路与安顺路交汇处）,120.375929,36.180694
亿阳金都馨城 ,2居|3居,,http://jinduxinchengyy.fang.com/,价格待定,青岛市,胶州,胶州市澳门路818号（澳门路与杭州路交汇处）,120.005425,36.253295
皇骐富贵百合园 ,2居|3居,,http://fuguibaiheyuanhq.fang.com/,价格待定,青岛市,胶州,胶州市里岔镇黄张公路563号,119.780942,36.05858
大都汇 ,1居|2居|3居,,http://daduhui0532.fang.com/,价格待定,青岛市,市北,市北九江路22号（九江路和宜丰路交汇处）,120.380372,36.129634
即发金色华山 ,2居|3居,114平米,http://jinsehuashanjf.fang.com/,5900元/㎡,青岛市,即墨,即墨华山镇华锦路168号,120.528688,36.526571
太泉美域 ,2居|3居|4居,83~182平米,http://taiquanmeiyu0532.fang.com/,价格待定,青岛市,平度,平度市天津路与兰州路交界处（新九中东侧）,119.942023,36.798599
领秀·珊瑚湾 ,2居|3居|4居|5居,,http://shanhuwanlx.fang.com/,价格待定,青岛市,城阳,城阳华贯路758号（华贯路与丰年路交界处）,120.30051,36.284805
中高名人国际花园 ,2居|3居,81~124平米,http://mingrenguojihuayuanzg0532.fang.com/,6000元/㎡,青岛市,平度,平度市人民路140号（锦绣花园西300米）,119.939403,36.79025
青岛碧桂园 ,1居|2居|3居|5居|5居以上,,http://qingdaobiguiyuan.fang.com/,价格待定,青岛市,城阳,城阳棘洪滩街道政府大楼旁,120.4195,36.3305
平都壹号院 ,2居|3居,,http://yihaoyuanpd.fang.com/,5600元/㎡,青岛市,平度,平度市天津路152号（杭州路西侧）,119.966424,36.79814
裕东新府 ,2居|3居|4居,,http://yudongxinfu.fang.com/,价格待定,青岛市,即墨,即墨经济开发区威海卫路10号（区盟旺山公园东侧）,120.50626,36.403915
珠山名苑二期 ,2居|3居|4居,88平米,http://zhushanmingyuan.fang.com/2/,价格待定,青岛市,黄岛,黄岛泰山路777号（泰山路与天津路交汇处）,120.048906,35.894809
深港城 ,2居|3居,86~95平米,http://shengangcheng0532.fang.com/,价格待定,青岛市,黄岛,黄岛江山南路519号（嘉陵江路与江山南路交汇处）,120.169822,35.976843
德馨海棠公馆 ,2居|3居|4居,82~147平米,http://haitanggongguandx.fang.com/,价格待定,青岛市,即墨,即墨鹤山路广电大厦对面（鹤山路与泰山一路交汇处）,120.481458,36.398359
华商金岸 ,2居|3居|4居,91平米,http://huashangjinan.fang.com/,价格待定,青岛市,莱西,莱西市上海路北与杭州路东交汇处,119.751839,35.683484
蓝海湾·卡地亚 ,2居|3居|4居,143平米,http://kadiyalhw.fang.com/,价格待定,青岛市,黄岛,黄岛世纪大道与滨海大道交汇处西路北（东方高尔夫球场西侧）,120.043438,35.851475
置信新城里 ,2居|3居,,http://xinchenglizx.fang.com/,9000元/㎡,青岛市,莱西,莱西市姜山新城杭州路与李朴路交汇处（荣家屯北侧）,120.543043,36.62968
安泰书香苑 ,2居|3居,86平米,http://antaishuxiangyuan.fang.com/,价格待定,青岛市,胶州,胶州市铺集镇铺集小学东50米教育中心旁（苏邱路东侧）,119.71538,36.132369
泽润世家公馆 ,1居|4居|5居,,http://shijiagongguanzr.fang.com/,价格待定,青岛市,黄岛,黄岛太行山路6号（石油大学南门东1000米）,120.1735,35.9481
华地仟佰墅 ,2居|3居|4居,131~136平米,http://qianbaishuhd.fang.com/,价格待定,青岛市,城阳,城阳黑龙江中路与白沙河路交汇处向东500米,120.415259,36.267563
沽河名邸 ,1居|2居,,http://guhemingdi.fang.com/,价格待定,青岛市,胶州,胶州市李哥庄镇小学南600米路西（香港大街南测）,120.152225,36.343822
福根美林 ,1居|2居|3居,,http://fugenmeilin.fang.com/,价格待定,青岛市,城阳,城阳靖城路（原青威路）与兴阳路交汇处,120.412582,36.288786
鑫汇水岸 ,2居,,http://xinhuishuian.fang.com/,价格待定,青岛市,城阳,城阳红岛经济区河套街道双积路南、将军花园东、前海路北,120.151557,36.221157
永嘉新居 ,1居,85~140平米,http://yongjiaxinju.fang.com/,48000元/㎡,青岛市,市南,市南.延吉路181、183、185号（延吉路万达CBD南侧）,120.38039,36.087095
银盛泰香江学府 ,2居|3居|4居,,http://xiangjiangxuefuyst.fang.com/,价格待定,青岛市,黄岛,黄岛香江一路108号,120.166192,35.968944
