,IP,,,PORT,,TYPE,Æ´½Ó
{'ip_port': ',113.105.203.221,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '113.105.203.221:3128', 'user_pass': ''},"
{'ip_port': ',123.55.92.32,,:,41311,"', 'user_pass': ''},",HTTPS,"{'ip_port': '123.55.92.32:41311', 'user_pass': ''},"
{'ip_port': ',115.203.205.156,,:,35039,"', 'user_pass': ''},",HTTPS,"{'ip_port': '115.203.205.156:35039', 'user_pass': ''},"
{'ip_port': ',125.126.175.108,,:,20455,"', 'user_pass': ''},",HTTP,"{'ip_port': '125.126.175.108:20455', 'user_pass': ''},"
{'ip_port': ',221.229.18.103,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '221.229.18.103:3128', 'user_pass': ''},"
{'ip_port': ',36.99.159.216,,:,46821,"', 'user_pass': ''},",HTTPS,"{'ip_port': '36.99.159.216:46821', 'user_pass': ''},"
{'ip_port': ',60.184.200.15,,:,34926,"', 'user_pass': ''},",HTTP,"{'ip_port': '60.184.200.15:34926', 'user_pass': ''},"
{'ip_port': ',49.70.48.87,,:,28517,"', 'user_pass': ''},",HTTPS,"{'ip_port': '49.70.48.87:28517', 'user_pass': ''},"
{'ip_port': ',180.155.135.247,,:,46891,"', 'user_pass': ''},",HTTP,"{'ip_port': '180.155.135.247:46891', 'user_pass': ''},"
{'ip_port': ',171.14.91.140,,:,49165,"', 'user_pass': ''},",HTTPS,"{'ip_port': '171.14.91.140:49165', 'user_pass': ''},"
{'ip_port': ',183.156.45.193,,:,8118,"', 'user_pass': ''},",HTTP,"{'ip_port': '183.156.45.193:8118', 'user_pass': ''},"
{'ip_port': ',222.182.53.254,,:,8118,"', 'user_pass': ''},",HTTP,"{'ip_port': '222.182.53.254:8118', 'user_pass': ''},"
{'ip_port': ',60.184.172.97,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '60.184.172.97:3128', 'user_pass': ''},"
{'ip_port': ',175.163.88.40,,:,8118,"', 'user_pass': ''},",HTTP,"{'ip_port': '175.163.88.40:8118', 'user_pass': ''},"
{'ip_port': ',222.85.22.169,,:,47920,"', 'user_pass': ''},",HTTP,"{'ip_port': '222.85.22.169:47920', 'user_pass': ''},"
{'ip_port': ',121.239.230.210,,:,44429,"', 'user_pass': ''},",HTTP,"{'ip_port': '121.239.230.210:44429', 'user_pass': ''},"
{'ip_port': ',60.169.223.252,,:,47544,"', 'user_pass': ''},",HTTP,"{'ip_port': '60.169.223.252:47544', 'user_pass': ''},"
{'ip_port': ',36.99.212.35,,:,34783,"', 'user_pass': ''},",HTTPS,"{'ip_port': '36.99.212.35:34783', 'user_pass': ''},"
{'ip_port': ',1.199.192.23,,:,42274,"', 'user_pass': ''},",HTTPS,"{'ip_port': '1.199.192.23:42274', 'user_pass': ''},"
{'ip_port': ',110.73.32.152,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '110.73.32.152:8123', 'user_pass': ''},"
{'ip_port': ',122.241.72.213,,:,808,"', 'user_pass': ''},",HTTPS,"{'ip_port': '122.241.72.213:808', 'user_pass': ''},"
{'ip_port': ',111.155.124.77,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '111.155.124.77:8123', 'user_pass': ''},"
{'ip_port': ',171.38.65.115,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '171.38.65.115:8123', 'user_pass': ''},"
{'ip_port': ',171.13.36.143,,:,808,"', 'user_pass': ''},",HTTP,"{'ip_port': '171.13.36.143:808', 'user_pass': ''},"
{'ip_port': ',110.90.135.247,,:,24180,"', 'user_pass': ''},",HTTPS,"{'ip_port': '110.90.135.247:24180', 'user_pass': ''},"
{'ip_port': ',222.85.50.87,,:,808,"', 'user_pass': ''},",HTTPS,"{'ip_port': '222.85.50.87:808', 'user_pass': ''},"
{'ip_port': ',49.83.24.155,,:,8888,"', 'user_pass': ''},",HTTPS,"{'ip_port': '49.83.24.155:8888', 'user_pass': ''},"
{'ip_port': ',36.25.24.108,,:,29758,"', 'user_pass': ''},",HTTPS,"{'ip_port': '36.25.24.108:29758', 'user_pass': ''},"
{'ip_port': ',111.155.116.242,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '111.155.116.242:8123', 'user_pass': ''},"
{'ip_port': ',175.11.50.117,,:,8118,"', 'user_pass': ''},",HTTP,"{'ip_port': '175.11.50.117:8118', 'user_pass': ''},"
{'ip_port': ',123.114.57.83,,:,8118,"', 'user_pass': ''},",HTTPS,"{'ip_port': '123.114.57.83:8118', 'user_pass': ''},"
{'ip_port': ',110.83.181.111,,:,27025,"', 'user_pass': ''},",HTTPS,"{'ip_port': '110.83.181.111:27025', 'user_pass': ''},"
{'ip_port': ',140.250.159.189,,:,33623,"', 'user_pass': ''},",HTTPS,"{'ip_port': '140.250.159.189:33623', 'user_pass': ''},"
{'ip_port': ',49.70.94.43,,:,45338,"', 'user_pass': ''},",HTTPS,"{'ip_port': '49.70.94.43:45338', 'user_pass': ''},"
{'ip_port': ',115.225.159.167,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '115.225.159.167:3128', 'user_pass': ''},"
{'ip_port': ',180.121.160.206,,:,21902,"', 'user_pass': ''},",HTTPS,"{'ip_port': '180.121.160.206:21902', 'user_pass': ''},"
{'ip_port': ',110.73.54.41,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.73.54.41:8123', 'user_pass': ''},"
{'ip_port': ',171.38.41.110,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '171.38.41.110:8123', 'user_pass': ''},"
{'ip_port': ',60.184.207.115,,:,40224,"', 'user_pass': ''},",HTTPS,"{'ip_port': '60.184.207.115:40224', 'user_pass': ''},"
{'ip_port': ',49.81.32.203,,:,37322,"', 'user_pass': ''},",HTTPS,"{'ip_port': '49.81.32.203:37322', 'user_pass': ''},"
{'ip_port': ',110.72.45.98,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '110.72.45.98:8123', 'user_pass': ''},"
{'ip_port': ',122.4.42.64,,:,40044,"', 'user_pass': ''},",HTTP,"{'ip_port': '122.4.42.64:40044', 'user_pass': ''},"
{'ip_port': ',180.122.145.214,,:,25267,"', 'user_pass': ''},",HTTP,"{'ip_port': '180.122.145.214:25267', 'user_pass': ''},"
{'ip_port': ',120.39.114.207,,:,30056,"', 'user_pass': ''},",HTTP,"{'ip_port': '120.39.114.207:30056', 'user_pass': ''},"
{'ip_port': ',122.4.42.64,,:,40044,"', 'user_pass': ''},",HTTPS,"{'ip_port': '122.4.42.64:40044', 'user_pass': ''},"
{'ip_port': ',121.31.100.39,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '121.31.100.39:8123', 'user_pass': ''},"
{'ip_port': ',60.167.163.45,,:,46377,"', 'user_pass': ''},",HTTP,"{'ip_port': '60.167.163.45:46377', 'user_pass': ''},"
{'ip_port': ',121.31.195.60,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '121.31.195.60:8123', 'user_pass': ''},"
{'ip_port': ',114.226.166.118,,:,34993,"', 'user_pass': ''},",HTTPS,"{'ip_port': '114.226.166.118:34993', 'user_pass': ''},"
{'ip_port': ',117.92.118.96,,:,35509,"', 'user_pass': ''},",HTTPS,"{'ip_port': '117.92.118.96:35509', 'user_pass': ''},"
{'ip_port': ',183.144.198.32,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '183.144.198.32:3128', 'user_pass': ''},"
{'ip_port': ',110.73.42.173,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '110.73.42.173:8123', 'user_pass': ''},"
{'ip_port': ',110.90.133.85,,:,32420,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.90.133.85:32420', 'user_pass': ''},"
{'ip_port': ',120.37.174.49,,:,23890,"', 'user_pass': ''},",HTTP,"{'ip_port': '120.37.174.49:23890', 'user_pass': ''},"
{'ip_port': ',110.73.3.226,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '110.73.3.226:8123', 'user_pass': ''},"
{'ip_port': ',115.210.72.4,,:,31844,"', 'user_pass': ''},",HTTP,"{'ip_port': '115.210.72.4:31844', 'user_pass': ''},"
{'ip_port': ',122.4.29.5,,:,45912,"', 'user_pass': ''},",HTTPS,"{'ip_port': '122.4.29.5:45912', 'user_pass': ''},"
{'ip_port': ',110.73.41.52,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '110.73.41.52:8123', 'user_pass': ''},"
{'ip_port': ',113.121.241.43,,:,808,"', 'user_pass': ''},",HTTPS,"{'ip_port': '113.121.241.43:808', 'user_pass': ''},"
{'ip_port': ',110.189.207.86,,:,31759,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.189.207.86:31759', 'user_pass': ''},"
{'ip_port': ',119.190.216.247,,:,8118,"', 'user_pass': ''},",HTTPS,"{'ip_port': '119.190.216.247:8118', 'user_pass': ''},"
{'ip_port': ',110.73.3.148,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.73.3.148:8123', 'user_pass': ''},"
{'ip_port': ',49.85.7.134,,:,36832,"', 'user_pass': ''},",HTTPS,"{'ip_port': '49.85.7.134:36832', 'user_pass': ''},"
{'ip_port': ',218.74.82.123,,:,39960,"', 'user_pass': ''},",HTTP,"{'ip_port': '218.74.82.123:39960', 'user_pass': ''},"
{'ip_port': ',218.74.82.123,,:,39960,"', 'user_pass': ''},",HTTPS,"{'ip_port': '218.74.82.123:39960', 'user_pass': ''},"
{'ip_port': ',49.82.54.12,,:,44318,"', 'user_pass': ''},",HTTP,"{'ip_port': '49.82.54.12:44318', 'user_pass': ''},"
{'ip_port': ',121.31.136.212,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '121.31.136.212:8123', 'user_pass': ''},"
{'ip_port': ',59.51.121.150,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '59.51.121.150:3128', 'user_pass': ''},"
{'ip_port': ',121.31.139.96,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '121.31.139.96:8123', 'user_pass': ''},"
{'ip_port': ',180.120.200.83,,:,31395,"', 'user_pass': ''},",HTTP,"{'ip_port': '180.120.200.83:31395', 'user_pass': ''},"
{'ip_port': ',110.73.34.49,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '110.73.34.49:8123', 'user_pass': ''},"
{'ip_port': ',115.46.66.241,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '115.46.66.241:8123', 'user_pass': ''},"
{'ip_port': ',59.32.37.64,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '59.32.37.64:3128', 'user_pass': ''},"
{'ip_port': ',144.123.71.140,,:,35523,"', 'user_pass': ''},",HTTPS,"{'ip_port': '144.123.71.140:35523', 'user_pass': ''},"
{'ip_port': ',115.230.79.34,,:,25688,"', 'user_pass': ''},",HTTPS,"{'ip_port': '115.230.79.34:25688', 'user_pass': ''},"
{'ip_port': ',180.155.137.190,,:,42871,"', 'user_pass': ''},",HTTPS,"{'ip_port': '180.155.137.190:42871', 'user_pass': ''},"
{'ip_port': ',110.73.29.66,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '110.73.29.66:8123', 'user_pass': ''},"
{'ip_port': ',122.241.73.36,,:,808,"', 'user_pass': ''},",HTTPS,"{'ip_port': '122.241.73.36:808', 'user_pass': ''},"
{'ip_port': ',222.71.125.103,,:,30268,"', 'user_pass': ''},",HTTPS,"{'ip_port': '222.71.125.103:30268', 'user_pass': ''},"
{'ip_port': ',27.154.180.190,,:,34039,"', 'user_pass': ''},",HTTPS,"{'ip_port': '27.154.180.190:34039', 'user_pass': ''},"
{'ip_port': ',139.211.87.74,,:,80,"', 'user_pass': ''},",HTTPS,"{'ip_port': '139.211.87.74:80', 'user_pass': ''},"
{'ip_port': ',59.56.242.89,,:,38598,"', 'user_pass': ''},",HTTP,"{'ip_port': '59.56.242.89:38598', 'user_pass': ''},"
{'ip_port': ',171.38.25.141,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '171.38.25.141:8123', 'user_pass': ''},"
{'ip_port': ',115.203.176.65,,:,38025,"', 'user_pass': ''},",HTTPS,"{'ip_port': '115.203.176.65:38025', 'user_pass': ''},"
{'ip_port': ',115.221.119.203,,:,35161,"', 'user_pass': ''},",HTTPS,"{'ip_port': '115.221.119.203:35161', 'user_pass': ''},"
{'ip_port': ',115.46.78.74,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '115.46.78.74:8123', 'user_pass': ''},"
{'ip_port': ',106.111.53.216,,:,48482,"', 'user_pass': ''},",HTTPS,"{'ip_port': '106.111.53.216:48482', 'user_pass': ''},"
{'ip_port': ',114.232.83.57,,:,45242,"', 'user_pass': ''},",HTTPS,"{'ip_port': '114.232.83.57:45242', 'user_pass': ''},"
{'ip_port': ',49.85.7.143,,:,42038,"', 'user_pass': ''},",HTTPS,"{'ip_port': '49.85.7.143:42038', 'user_pass': ''},"
{'ip_port': ',113.105.202.79,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '113.105.202.79:3128', 'user_pass': ''},"
{'ip_port': ',110.72.16.98,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.72.16.98:8123', 'user_pass': ''},"
{'ip_port': ',110.73.53.210,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.73.53.210:8123', 'user_pass': ''},"
{'ip_port': ',114.231.115.165,,:,25951,"', 'user_pass': ''},",HTTPS,"{'ip_port': '114.231.115.165:25951', 'user_pass': ''},"
{'ip_port': ',116.3.205.22,,:,8888,"', 'user_pass': ''},",HTTP,"{'ip_port': '116.3.205.22:8888', 'user_pass': ''},"
{'ip_port': ',123.55.3.200,,:,21766,"', 'user_pass': ''},",HTTPS,"{'ip_port': '123.55.3.200:21766', 'user_pass': ''},"
{'ip_port': ',121.237.168.252,,:,8118,"', 'user_pass': ''},",HTTPS,"{'ip_port': '121.237.168.252:8118', 'user_pass': ''},"
{'ip_port': ',116.231.242.248,,:,8118,"', 'user_pass': ''},",HTTP,"{'ip_port': '116.231.242.248:8118', 'user_pass': ''},"
{'ip_port': ',113.243.131.107,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '113.243.131.107:3128', 'user_pass': ''},"
{'ip_port': ',121.31.192.79,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '121.31.192.79:8123', 'user_pass': ''},"
{'ip_port': ',121.205.254.234,,:,808,"', 'user_pass': ''},",HTTPS,"{'ip_port': '121.205.254.234:808', 'user_pass': ''},"
{'ip_port': ',182.42.244.61,,:,808,"', 'user_pass': ''},",HTTPS,"{'ip_port': '182.42.244.61:808', 'user_pass': ''},"
{'ip_port': ',115.203.216.211,,:,30347,"', 'user_pass': ''},",HTTPS,"{'ip_port': '115.203.216.211:30347', 'user_pass': ''},"
{'ip_port': ',125.126.168.218,,:,22337,"', 'user_pass': ''},",HTTPS,"{'ip_port': '125.126.168.218:22337', 'user_pass': ''},"
{'ip_port': ',171.39.29.102,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '171.39.29.102:8123', 'user_pass': ''},"
{'ip_port': ',112.228.170.47,,:,8118,"', 'user_pass': ''},",HTTP,"{'ip_port': '112.228.170.47:8118', 'user_pass': ''},"
{'ip_port': ',110.73.55.161,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.73.55.161:8123', 'user_pass': ''},"
{'ip_port': ',111.155.116.226,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '111.155.116.226:8123', 'user_pass': ''},"
{'ip_port': ',118.254.155.127,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '118.254.155.127:3128', 'user_pass': ''},"
{'ip_port': ',118.254.152.208,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '118.254.152.208:3128', 'user_pass': ''},"
{'ip_port': ',182.90.91.127,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '182.90.91.127:8123', 'user_pass': ''},"
{'ip_port': ',222.183.210.106,,:,8118,"', 'user_pass': ''},",HTTP,"{'ip_port': '222.183.210.106:8118', 'user_pass': ''},"
{'ip_port': ',180.122.149.141,,:,44871,"', 'user_pass': ''},",HTTP,"{'ip_port': '180.122.149.141:44871', 'user_pass': ''},"
{'ip_port': ',110.73.52.206,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.73.52.206:8123', 'user_pass': ''},"
{'ip_port': ',122.4.46.59,,:,22204,"', 'user_pass': ''},",HTTPS,"{'ip_port': '122.4.46.59:22204', 'user_pass': ''},"
{'ip_port': ',222.77.36.100,,:,47798,"', 'user_pass': ''},",HTTPS,"{'ip_port': '222.77.36.100:47798', 'user_pass': ''},"
{'ip_port': ',110.73.1.65,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.73.1.65:8123', 'user_pass': ''},"
{'ip_port': ',221.7.175.182,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '221.7.175.182:8123', 'user_pass': ''},"
{'ip_port': ',118.254.155.64,,:,3128,"', 'user_pass': ''},",HTTP,"{'ip_port': '118.254.155.64:3128', 'user_pass': ''},"
{'ip_port': ',115.215.51.136,,:,43619,"', 'user_pass': ''},",HTTP,"{'ip_port': '115.215.51.136:43619', 'user_pass': ''},"
{'ip_port': ',123.101.165.206,,:,26308,"', 'user_pass': ''},",HTTPS,"{'ip_port': '123.101.165.206:26308', 'user_pass': ''},"
{'ip_port': ',124.72.97.191,,:,808,"', 'user_pass': ''},",HTTPS,"{'ip_port': '124.72.97.191:808', 'user_pass': ''},"
{'ip_port': ',114.218.138.26,,:,47517,"', 'user_pass': ''},",HTTPS,"{'ip_port': '114.218.138.26:47517', 'user_pass': ''},"
{'ip_port': ',221.229.18.14,,:,3128,"', 'user_pass': ''},",HTTP,"{'ip_port': '221.229.18.14:3128', 'user_pass': ''},"
{'ip_port': ',114.230.126.150,,:,808,"', 'user_pass': ''},",HTTPS,"{'ip_port': '114.230.126.150:808', 'user_pass': ''},"
{'ip_port': ',110.73.28.249,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.73.28.249:8123', 'user_pass': ''},"
{'ip_port': ',115.221.121.158,,:,41932,"', 'user_pass': ''},",HTTP,"{'ip_port': '115.221.121.158:41932', 'user_pass': ''},"
{'ip_port': ',140.250.130.243,,:,48000,"', 'user_pass': ''},",HTTPS,"{'ip_port': '140.250.130.243:48000', 'user_pass': ''},"
{'ip_port': ',125.109.194.143,,:,48398,"', 'user_pass': ''},",HTTP,"{'ip_port': '125.109.194.143:48398', 'user_pass': ''},"
{'ip_port': ',182.90.172.195,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '182.90.172.195:8123', 'user_pass': ''},"
{'ip_port': ',110.73.53.88,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.73.53.88:8123', 'user_pass': ''},"
{'ip_port': ',125.126.164.35,,:,21341,"', 'user_pass': ''},",HTTPS,"{'ip_port': '125.126.164.35:21341', 'user_pass': ''},"
{'ip_port': ',125.126.162.206,,:,21239,"', 'user_pass': ''},",HTTPS,"{'ip_port': '125.126.162.206:21239', 'user_pass': ''},"
{'ip_port': ',110.73.29.160,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '110.73.29.160:8123', 'user_pass': ''},"
{'ip_port': ',144.12.162.51,,:,808,"', 'user_pass': ''},",HTTPS,"{'ip_port': '144.12.162.51:808', 'user_pass': ''},"
{'ip_port': ',221.10.159.234,,:,1337,"', 'user_pass': ''},",HTTP,"{'ip_port': '221.10.159.234:1337', 'user_pass': ''},"
{'ip_port': ',183.151.36.211,,:,35296,"', 'user_pass': ''},",HTTPS,"{'ip_port': '183.151.36.211:35296', 'user_pass': ''},"
{'ip_port': ',114.230.233.110,,:,42324,"', 'user_pass': ''},",HTTPS,"{'ip_port': '114.230.233.110:42324', 'user_pass': ''},"
{'ip_port': ',222.71.89.180,,:,47202,"', 'user_pass': ''},",HTTP,"{'ip_port': '222.71.89.180:47202', 'user_pass': ''},"
{'ip_port': ',171.11.228.255,,:,20802,"', 'user_pass': ''},",HTTP,"{'ip_port': '171.11.228.255:20802', 'user_pass': ''},"
{'ip_port': ',180.155.141.179,,:,25130,"', 'user_pass': ''},",HTTPS,"{'ip_port': '180.155.141.179:25130', 'user_pass': ''},"
{'ip_port': ',222.89.82.113,,:,22073,"', 'user_pass': ''},",HTTP,"{'ip_port': '222.89.82.113:22073', 'user_pass': ''},"
{'ip_port': ',113.86.221.244,,:,808,"', 'user_pass': ''},",HTTP,"{'ip_port': '113.86.221.244:808', 'user_pass': ''},"
{'ip_port': ',121.231.147.45,,:,6666,"', 'user_pass': ''},",HTTPS,"{'ip_port': '121.231.147.45:6666', 'user_pass': ''},"
{'ip_port': ',114.232.193.253,,:,39332,"', 'user_pass': ''},",HTTPS,"{'ip_port': '114.232.193.253:39332', 'user_pass': ''},"
{'ip_port': ',123.53.133.126,,:,39712,"', 'user_pass': ''},",HTTPS,"{'ip_port': '123.53.133.126:39712', 'user_pass': ''},"
{'ip_port': ',59.51.123.56,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '59.51.123.56:3128', 'user_pass': ''},"
{'ip_port': ',222.182.53.151,,:,8118,"', 'user_pass': ''},",HTTPS,"{'ip_port': '222.182.53.151:8118', 'user_pass': ''},"
{'ip_port': ',123.149.163.243,,:,42989,"', 'user_pass': ''},",HTTP,"{'ip_port': '123.149.163.243:42989', 'user_pass': ''},"
{'ip_port': ',171.39.40.194,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '171.39.40.194:8123', 'user_pass': ''},"
{'ip_port': ',180.156.94.7,,:,8118,"', 'user_pass': ''},",HTTPS,"{'ip_port': '180.156.94.7:8118', 'user_pass': ''},"
{'ip_port': ',220.162.155.83,,:,43254,"', 'user_pass': ''},",HTTPS,"{'ip_port': '220.162.155.83:43254', 'user_pass': ''},"
{'ip_port': ',60.167.133.80,,:,29296,"', 'user_pass': ''},",HTTPS,"{'ip_port': '60.167.133.80:29296', 'user_pass': ''},"
{'ip_port': ',221.227.56.74,,:,29064,"', 'user_pass': ''},",HTTPS,"{'ip_port': '221.227.56.74:29064', 'user_pass': ''},"
{'ip_port': ',60.175.213.156,,:,33188,"', 'user_pass': ''},",HTTP,"{'ip_port': '60.175.213.156:33188', 'user_pass': ''},"
{'ip_port': ',180.121.163.53,,:,23441,"', 'user_pass': ''},",HTTP,"{'ip_port': '180.121.163.53:23441', 'user_pass': ''},"
{'ip_port': ',49.71.81.173,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '49.71.81.173:3128', 'user_pass': ''},"
{'ip_port': ',49.71.81.131,,:,3128,"', 'user_pass': ''},",HTTP,"{'ip_port': '49.71.81.131:3128', 'user_pass': ''},"
{'ip_port': ',116.22.53.147,,:,8118,"', 'user_pass': ''},",HTTP,"{'ip_port': '116.22.53.147:8118', 'user_pass': ''},"
{'ip_port': ',115.226.134.69,,:,30197,"', 'user_pass': ''},",HTTPS,"{'ip_port': '115.226.134.69:30197', 'user_pass': ''},"
{'ip_port': ',117.62.113.57,,:,45994,"', 'user_pass': ''},",HTTPS,"{'ip_port': '117.62.113.57:45994', 'user_pass': ''},"
{'ip_port': ',113.121.240.206,,:,45818,"', 'user_pass': ''},",HTTPS,"{'ip_port': '113.121.240.206:45818', 'user_pass': ''},"
{'ip_port': ',171.39.40.152,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '171.39.40.152:8123', 'user_pass': ''},"
{'ip_port': ',115.46.78.9,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '115.46.78.9:8123', 'user_pass': ''},"
{'ip_port': ',123.168.133.183,,:,8118,"', 'user_pass': ''},",HTTPS,"{'ip_port': '123.168.133.183:8118', 'user_pass': ''},"
{'ip_port': ',121.237.137.172,,:,3128,"', 'user_pass': ''},",HTTP,"{'ip_port': '121.237.137.172:3128', 'user_pass': ''},"
{'ip_port': ',121.31.154.146,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '121.31.154.146:8123', 'user_pass': ''},"
{'ip_port': ',110.73.32.142,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.73.32.142:8123', 'user_pass': ''},"
{'ip_port': ',115.46.65.122,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '115.46.65.122:8123', 'user_pass': ''},"
{'ip_port': ',110.73.52.86,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.73.52.86:8123', 'user_pass': ''},"
{'ip_port': ',117.66.134.233,,:,8118,"', 'user_pass': ''},",HTTPS,"{'ip_port': '117.66.134.233:8118', 'user_pass': ''},"
{'ip_port': ',222.85.50.38,,:,808,"', 'user_pass': ''},",HTTPS,"{'ip_port': '222.85.50.38:808', 'user_pass': ''},"
{'ip_port': ',110.72.23.231,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '110.72.23.231:8123', 'user_pass': ''},"
{'ip_port': ',60.167.135.11,,:,45515,"', 'user_pass': ''},",HTTPS,"{'ip_port': '60.167.135.11:45515', 'user_pass': ''},"
{'ip_port': ',113.128.30.107,,:,31770,"', 'user_pass': ''},",HTTPS,"{'ip_port': '113.128.30.107:31770', 'user_pass': ''},"
{'ip_port': ',110.73.53.123,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.73.53.123:8123', 'user_pass': ''},"
{'ip_port': ',123.54.236.215,,:,34974,"', 'user_pass': ''},",HTTPS,"{'ip_port': '123.54.236.215:34974', 'user_pass': ''},"
{'ip_port': ',111.74.233.78,,:,22463,"', 'user_pass': ''},",HTTPS,"{'ip_port': '111.74.233.78:22463', 'user_pass': ''},"
{'ip_port': ',110.88.31.5,,:,39451,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.88.31.5:39451', 'user_pass': ''},"
{'ip_port': ',139.208.198.168,,:,8118,"', 'user_pass': ''},",HTTPS,"{'ip_port': '139.208.198.168:8118', 'user_pass': ''},"
{'ip_port': ',111.155.116.215,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '111.155.116.215:8123', 'user_pass': ''},"
{'ip_port': ',124.134.31.118,,:,8118,"', 'user_pass': ''},",HTTP,"{'ip_port': '124.134.31.118:8118', 'user_pass': ''},"
{'ip_port': ',118.180.42.196,,:,8118,"', 'user_pass': ''},",HTTPS,"{'ip_port': '118.180.42.196:8118', 'user_pass': ''},"
{'ip_port': ',113.105.203.163,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '113.105.203.163:3128', 'user_pass': ''},"
{'ip_port': ',121.31.103.198,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '121.31.103.198:8123', 'user_pass': ''},"
{'ip_port': ',110.72.35.95,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.72.35.95:8123', 'user_pass': ''},"
{'ip_port': ',121.31.177.187,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '121.31.177.187:8123', 'user_pass': ''},"
{'ip_port': ',180.119.65.55,,:,3128,"', 'user_pass': ''},",HTTP,"{'ip_port': '180.119.65.55:3128', 'user_pass': ''},"
{'ip_port': ',60.184.117.241,,:,26092,"', 'user_pass': ''},",HTTPS,"{'ip_port': '60.184.117.241:26092', 'user_pass': ''},"
{'ip_port': ',49.79.70.112,,:,8118,"', 'user_pass': ''},",HTTPS,"{'ip_port': '49.79.70.112:8118', 'user_pass': ''},"
{'ip_port': ',49.89.86.107,,:,37084,"', 'user_pass': ''},",HTTPS,"{'ip_port': '49.89.86.107:37084', 'user_pass': ''},"
